provider,num_vecs,brute time (ms),binary time (ms),binary oversample,binary recall
openai,10000,37.8183,22.9769,1,0.682
openai,10000,37.8183,22.9991,2,0.882
openai,10000,37.8183,22.0026,3,0.943
openai,10000,37.8183,23.5147,4,0.968
openai,10000,37.8183,25.0008,5,0.979
openai,10000,37.8183,24.0007,6,0.983
openai,10000,37.8183,23.5216,7,0.988
openai,10000,37.8183,25.7798,8,0.992
openai,10000,37.8183,24.9957,9,0.996
openai,10000,37.8183,24.0128,10,0.999
cohere,10000,28.2094,24.9859,1,0.304
cohere,10000,28.2094,25.9979,2,0.424
cohere,10000,28.2094,24.0007,3,0.486
cohere,10000,28.2094,22.0098,4,0.54
cohere,10000,28.2094,20.9982,5,0.571
cohere,10000,28.2094,22.0,6,0.598
cohere,10000,28.2094,22.5234,7,0.627
cohere,10000,28.2094,22.0001,8,0.645
cohere,10000,28.2094,23.0004,9,0.662
cohere,10000,28.2094,21.9957,10,0.68
