provider,num_vecs,oversample,brute time (ms),reduced time (ms),binary time (ms),reduced vec. recall,binary recall
openai,10000,1,39.5455,26.5141,1.9986,0.78,0.32
openai,10000,5,39.5455,29.0029,1.0017,1.0,0.76
openai,10000,10,39.5455,29.0061,1.9986,1.0,0.86
openai,10000,15,39.5455,27.0033,2.0013,1.0,0.88
openai,10000,20,39.5455,30.0005,1.0011,1.0,0.92
openai,10000,25,39.5455,29.5185,1.0025,1.0,0.93
openai,10000,30,39.5455,30.0015,2.0007,1.0,0.96
openai,10000,35,39.5455,31.0126,2.9962,1.0,0.97
openai,10000,40,39.5455,30.0039,2.9999,1.0,0.97
openai,10000,45,39.5455,30.0002,1.997,1.0,0.97
openai,10000,50,39.5455,28.5321,1.9974,1.0,0.97
cohere,10000,1,37.4561,24.5224,1.9866,0.77,0.48
cohere,10000,5,37.4561,24.9993,1.001,0.98,0.86
cohere,10000,10,37.4561,26.0063,1.0014,1.0,0.9
cohere,10000,15,37.4561,25.9979,1.0108,1.0,0.96
cohere,10000,20,37.4561,24.9925,1.0076,1.0,0.97
cohere,10000,25,37.4561,27.2387,1.0009,1.0,0.97
cohere,10000,30,37.4561,25.9993,1.0015,1.0,0.97
cohere,10000,35,37.4561,26.9994,3.006,1.0,0.97
cohere,10000,40,37.4561,29.5408,2.0084,1.0,0.98
cohere,10000,45,37.4561,27.9927,2.002,1.0,0.98
cohere,10000,50,37.4561,26.0078,2.0007,1.0,0.98
